latitude,longitude,month,swh,mwd,mwp
49.0,-121.0,4,,,
49.0,-121.0,5,,,
49.0,-121.0,6,,,
49.0,-121.0,7,,,
49.0,-121.0,8,,,
49.0,-121.0,9,,,
49.0,-121.0,10,,,
49.0,-121.0,11,,,
49.0,-121.0,12,,,
49.0,-120.5,1,,,
49.0,-120.5,2,,,
49.0,-120.5,3,,,
49.0,-120.5,4,,,
49.0,-120.5,5,,,
49.0,-120.5,6,,,
49.0,-120.5,7,,,
49.0,-120.5,8,,,
49.0,-120.5,9,,,
49.0,-120.5,10,,,
49.0,-120.5,11,,,
49.0,-120.5,12,,,
49.0,-120.0,1,,,
49.0,-120.0,2,,,
49.0,-120.0,3,,,
49.0,-120.0,4,,,
49.0,-120.0,5,,,
49.0,-120.0,6,,,
49.0,-120.0,7,,,
49.0,-120.0,8,,,
49.0,-120.0,9,,,
49.0,-120.0,10,,,
49.0,-120.0,11,,,
49.0,-120.0,12,,,
49.0,-119.5,1,,,
49.0,-119.5,2,,,
49.0,-119.5,3,,,
49.0,-119.5,4,,,
49.0,-119.5,5,,,
49.0,-119.5,6,,,
49.0,-119.5,7,,,
49.0,-119.5,8,,,
49.0,-119.5,9,,,
49.0,-119.5,10,,,
49.0,-119.5,11,,,
49.0,-119.5,12,,,
49.0,-119.0,1,,,
49.0,-119.0,2,,,
49.0,-119.0,3,,,
49.0,-119.0,4,,,
49.0,-119.0,5,,,
49.0,-119.0,6,,,
49.0,-119.0,7,,,
49.0,-119.0,8,,,
49.0,-119.0,9,,,
49.0,-119.0,10,,,
49.0,-119.0,11,,,
49.0,-119.0,12,,,
49.0,-118.5,1,,,
49.0,-118.5,2,,,
49.0,-118.5,3,,,
49.0,-118.5,4,,,
49.0,-118.5,5,,,
49.0,-118.5,6,,,
49.0,-118.5,7,,,
49.0,-118.5,8,,,
49.0,-118.5,9,,,
49.0,-118.5,10,,,
49.0,-118.5,11,,,
49.0,-118.5,12,,,
49.0,-118.0,1,,,
49.0,-118.0,2,,,
49.0,-118.0,3,,,
49.0,-118.0,4,,,
49.0,-118.0,5,,,
49.0,-118.0,6,,,
49.0,-118.0,7,,,
49.0,-118.0,8,,,
49.0,-118.0,9,,,
49.0,-118.0,10,,,
49.0,-118.0,11,,,
49.0,-118.0,12,,,
